title,character,character_alias,actor
Agents of S.H.I.E.L.D.,Kirk Vogel,,Mark Atteberry
Agents of S.H.I.E.L.D.,Bynum,,Bryan Keith
Agents of S.H.I.E.L.D.,Spectre 2,,Kevin Alexander Stea
Agents of S.H.I.E.L.D.,Lindsay,,Teodora Marcella
Agents of S.H.I.E.L.D.,Dallas Wyatt,,Trenton Rostedt
Agents of S.H.I.E.L.D.,The Vicar,,Isaac C. Singleton Jr.
Agents of S.H.I.E.L.D.,Montalban,,Ski Carr
Agents of S.H.I.E.L.D.,Aunt Mindy,,Nicole J. Butler
Agents of S.H.I.E.L.D.,Dr. Goodman,,Imelda Corcoran
Agents of S.H.I.E.L.D.,Diego,,Carlos Rivera Marchand
Agents of S.H.I.E.L.D.,Agent Thomas,,Brent Bailey
Agents of S.H.I.E.L.D.,Spectre 3,,Gina Gonsalves
Agents of S.H.I.E.L.D.,Admiral Jolnes,,Mark Berry
Agents of S.H.I.E.L.D.,Ernesto The Barber,,Ramon Hilario
Agents of S.H.I.E.L.D.,Shepard,,Christopher Charles
Agents of S.H.I.E.L.D.,Ethan,,Kris Lemche
Agents of S.H.I.E.L.D.,Armed S.H.I.E.L.D. Guard,,Deren Tadlock
Agents of S.H.I.E.L.D.,Maston-Dar,,Remington Hoffman
Agents of S.H.I.E.L.D.,Gretchen,,Michele Tobin
Agents of S.H.I.E.L.D.,Agent Wahl,,Dominic Daniel
Agents of S.H.I.E.L.D.,Tinker,,Xavier Jimenez
Agents of S.H.I.E.L.D.,Chris Adler,,Skyler James Sandak
Agents of S.H.I.E.L.D.,George Talbot,,Jack Fisher
Agents of S.H.I.E.L.D.,Agent More,,Miguel A. Lopez
Agents of S.H.I.E.L.D.,Katya,,Ava Acres
Agents of S.H.I.E.L.D.,News Reporter,,Liberte Chan
Agents of S.H.I.E.L.D.,Victoria Hand,,Rachele Schank
Agents of S.H.I.E.L.D.,Agent Phelps,,Anthony D. Washington
Agents of S.H.I.E.L.D.,Lars,,Jessen Noviello
Agents of S.H.I.E.L.D.,Roughneck,,McKay Stewart
Agents of S.H.I.E.L.D.,Chen's Gang #1,,Jenson Cheng
Agents of S.H.I.E.L.D.,Chen's Gang #2,,Ken DuBois
Agents of S.H.I.E.L.D.,Chen's Gang #3,,Victor Chi
Agents of S.H.I.E.L.D.,Chen's Gang #4,,Edwin R. Habacon
Agents of S.H.I.E.L.D.,Tiny,,Paul Sanchez
Agents of S.H.I.E.L.D.,Lieutenant Decker,,Parisa Fakhri
Agents of S.H.I.E.L.D.,Chronicom Hunter #1,,Denney Pierce
Agents of S.H.I.E.L.D.,Soldier #1,,Jude B. Lanston
Agents of S.H.I.E.L.D.,Hangar Guard #2,,Seth Allyn Austin
Agents of S.H.I.E.L.D.,George Stephanopoulos,,George Stephanopoulos
Agents of S.H.I.E.L.D.,Stern Woman,,Mary Eileen O'Donnell
Agents of S.H.I.E.L.D.,Centipede Soldier #3,,Adam Lytle
Agents of S.H.I.E.L.D.,Camilla Reyes,,Leonor Varela
Agents of S.H.I.E.L.D.,Tobias,,Robert Baker
Agents of S.H.I.E.L.D.,Tony Diaz,,Vincent Laresca
Agents of S.H.I.E.L.D.,Akela Amador,,Pascale Armand
Agents of S.H.I.E.L.D.,Dr. Franklin Hall,,Ian Hart
Agents of S.H.I.E.L.D.,Jakob Nystrom,,Michael Graziadei
Agents of S.H.I.E.L.D.,Hannah,,Laura Seay
Agents of S.H.I.E.L.D.,Archeologist,,Carlos Leal
Agents of S.H.I.E.L.D.,Chan Ho Yin,,Louis Ozawa
Agents of S.H.I.E.L.D.,Kropsky,,Michael Klesic
Agents of S.H.I.E.L.D.,Audrey Nathan,,Amy Acker
Agents of S.H.I.E.L.D.,Lloyd Rathman,,Rob Huebel
Agents of S.H.I.E.L.D.,Olga Pachinko,,Jolene Andersen
Agents of S.H.I.E.L.D.,Petra Larsen,,Erin Way
Agents of S.H.I.E.L.D.,Vladimir,,Ilia Volok
Agents of S.H.I.E.L.D.,Qasim's Translator,,Assaf Cohen
Agents of S.H.I.E.L.D.,Taylor,,Christopher Gehrman
Agents of S.H.I.E.L.D.,Inn Keeper,,Julia Emelin
Agents of S.H.I.E.L.D.,Baker,,Robert Maffia
Agents of S.H.I.E.L.D.,Seth Dormer,,Daniel Zovatto
Agents of S.H.I.E.L.D.,Luca Russo,,Carlo Rota
Agents of S.H.I.E.L.D.,Virgil,,Deniz Akdeniz
Agents of S.H.I.E.L.D.,Russell Feldman,,Austin Basis
Agents of S.H.I.E.L.D.,Laura Hayward,,Molly McCook
Agents of S.H.I.E.L.D.,Miles Lydon,,Austin Nichols
Agents of S.H.I.E.L.D.,Gary,,Bob Stephenson
Agents of S.H.I.E.L.D.,Roger,,Josh Clark
Agents of S.H.I.E.L.D.,Armed Guard,,Nick Gracer
Agents of S.H.I.E.L.D.,Todd Chesterfield,,Scott Subiono
Agents of S.H.I.E.L.D.,Adam Cross,,Rick Gifford
Agents of S.H.I.E.L.D.,Young Grant,,Trenton Rogers
Agents of S.H.I.E.L.D.,Marta,,Alison White
Agents of S.H.I.E.L.D.,Cusi,,Anthony Dilio
Agents of S.H.I.E.L.D.,Dum Dum Dugan,,Neal McDonough
Agents of S.H.I.E.L.D.,Sofia,,Emily Baldoni
Agents of S.H.I.E.L.D.,Karla Faye Gideon,,Drea de Matteo
Agents of S.H.I.E.L.D.,Vin-Tak,,Eddie McClintock
Agents of S.H.I.E.L.D.,Mr. Kitson,,Anthony Michael Hall
Agents of S.H.I.E.L.D.,Cricket,,Ryan Donowho
Agents of S.H.I.E.L.D.,Captain William Dole,,Joe Reegan
Agents of S.H.I.E.L.D.,Dr. Pascal Vega,,Julian Acosta
Agents of S.H.I.E.L.D.,Englishman,,Dominic Burgess
Agents of S.H.I.E.L.D.,Agent Quan,,Tzi Ma
Agents of S.H.I.E.L.D.,Vilca,,Celestino Cornielle
Agents of S.H.I.E.L.D.,Boy,,Micah Nelson
Agents of S.H.I.E.L.D.,Justin,,David Michael Paul
Agents of S.H.I.E.L.D.,Officer,,Mickey Maxwell
Agents of S.H.I.E.L.D.,Callie Hannigan,,Maiara Walsh
Agents of S.H.I.E.L.D.,Rooster,,Dylan Bruno
Agents of S.H.I.E.L.D.,Lian May,,Tsai Chin
Agents of S.H.I.E.L.D.,Mancini,,T.J. Ramini
Agents of S.H.I.E.L.D.,Agent Barbour,,Dayo Ade
Agents of S.H.I.E.L.D.,Older Man,,Jeris Poindexter
Agents of S.H.I.E.L.D.,Mr. Cardozo,,Ruben Rabasa
Agents of S.H.I.E.L.D.,Ruben Mackenzie,,Gaius Charles
Agents of S.H.I.E.L.D.,Anon,,Camille De Pazzis
Agents of S.H.I.E.L.D.,L.T. Koenig,,Artemis Pebdani
Agents of S.H.I.E.L.D.,Julia Price,,Jade Harlow
Agents of S.H.I.E.L.D.,Jerry,,Peter A. Hulne
Agents of S.H.I.E.L.D.,Sequoia,,Maurissa Tancharoen
Agents of S.H.I.E.L.D.,Gerald Sharpe,,Michael Gaston
Agents of S.H.I.E.L.D.,Tom,,Larry Clarke
Agents of S.H.I.E.L.D.,Maynard,,Alex Neustaedter
Agents of S.H.I.E.L.D.,Agent Tyler,,Josh Cowdery
Agents of S.H.I.E.L.D.,Martha,,Beth Kennedy
Agents of S.H.I.E.L.D.,Brian Hayward,,Paul Lacovara
Agents of S.H.I.E.L.D.,Siberian Soldier #1,,Vladimir Sizov
Agents of S.H.I.E.L.D.,Camper #1,,Thomas Robie
Agents of S.H.I.E.L.D.,Debonair Gentleman,,Stan Lee
Agents of S.H.I.E.L.D.,Dr. Jazuat,,Sarayu Blue
Agents of S.H.I.E.L.D.,Rosie,,Alicia Lagano
Agents of S.H.I.E.L.D.,Agent Jacobson,,James MacDonald
Agents of S.H.I.E.L.D.,Agent Lumley,,Boyd Kestner
Agents of S.H.I.E.L.D.,Fisherman,,Potsch Boyd
Agents of S.H.I.E.L.D.,Teenage Grant Ward,,Austin Lyon
Agents of S.H.I.E.L.D.,Parking Attendant,,Josh Breeding
Agents of S.H.I.E.L.D.,William May,,James Hong
Agents of S.H.I.E.L.D.,Officer Carvalho,,Markell Andrew
Agents of S.H.I.E.L.D.,Scientist,,Arnell Powell
Agents of S.H.I.E.L.D.,Charles Hinton,,Bjorn Johnson
Agents of S.H.I.E.L.D.,Watchdog Alpha,,Justin Morck
Agents of S.H.I.E.L.D.,Abby,,Ciara Bravo
Agents of S.H.I.E.L.D.,Motel Clerk,,Tom Virtue
Agents of S.H.I.E.L.D.,Lead SVR Agent,,Stivi Paskoski
Agents of S.H.I.E.L.D.,Pretorious Pryce,,Clark Middleton
Agents of S.H.I.E.L.D.,Thomas,,Robb Derringer
Agents of S.H.I.E.L.D.,Young Jemma Simmons,,Ava Mireille
Agents of S.H.I.E.L.D.,Chinese Teenager #1,,Jimmy O. Yang
Agents of S.H.I.E.L.D.,Camper #2,,Trevor Larcom
Agents of S.H.I.E.L.D.,Angry Man,,Aaron Behr
Agents of S.H.I.E.L.D.,Prison Guard,,Rico Devereaux
Agents of S.H.I.E.L.D.,Neils,,Toby Wilson
Agents of S.H.I.E.L.D.,Agent Mack,,Bodie Newcomb
Agents of S.H.I.E.L.D.,Thomas Nash,,Brad Dourif
Agents of S.H.I.E.L.D.,Hank Thompson,,Joel Gretsch
Agents of S.H.I.E.L.D.,Vanchat,,Aiden Turner
Agents of S.H.I.E.L.D.,Trooper,,Allan Graf
Agents of S.H.I.E.L.D.,Marcus Scarlotti,,Falk Hentschel
Agents of S.H.I.E.L.D.,Kyle Zeller,,Josh Daugherty
Agents of S.H.I.E.L.D.,Train Conductor,,Ludwig Manukian
Agents of S.H.I.E.L.D.,Alpha,,J. Michael Silver
Agents of S.H.I.E.L.D.,Tim Maguire,,Mackenzie Astin
Agents of S.H.I.E.L.D.,Lord Thornally,,Alex Hyde-White
Agents of S.H.I.E.L.D.,Spud,,Daniel Feuerriegel
Agents of S.H.I.E.L.D.,Wendell Levi,,Ric Sarabia
Agents of S.H.I.E.L.D.,Bruno,,Danny Lopes
Agents of S.H.I.E.L.D.,Edwin Abbott,,Wolfgang Bodison
Agents of S.H.I.E.L.D.,Canelo,,Daniel Zacapa
Agents of S.H.I.E.L.D.,Maria,,Valery M. Ortiz
Agents of S.H.I.E.L.D.,Santino Noguera,,Rolando Molina
Agents of S.H.I.E.L.D.,Yuri Zaikin,,Turhan Troy Caylak
Agents of S.H.I.E.L.D.,Agent Pinksy,,Brandon Morales
Agents of S.H.I.E.L.D.,Jones,,Nathin Art Butler
Agents of S.H.I.E.L.D.,Attendant,,Jonathan Stanley
Agents of S.H.I.E.L.D.,Lieutenant Lucas,,Joe Layton
Agents of S.H.I.E.L.D.,Amy,,Stella Gregg
Agents of S.H.I.E.L.D.,Russian Thug,,Alexander Chernyshev
Agents of S.H.I.E.L.D.,Noah,,Joel David Moore
Agents of S.H.I.E.L.D.,Young Hale,,Alyssa Jirrels
Agents of S.H.I.E.L.D.,Old Man,,Bill Cobbs
Agents of S.H.I.E.L.D.,Tillman,,Greg Finley
Agents of S.H.I.E.L.D.,Lt. Carpenter,,Christian Gehring
Agents of S.H.I.E.L.D.,Joe,,Philip Alexander
Agents of S.H.I.E.L.D.,Copper,,Christopher Wallinger
Agents of S.H.I.E.L.D.,Chip Womack,,Karl Girolamo
Agents of S.H.I.E.L.D.,Chinese Teenager #2,,Alice Wen
Agents of S.H.I.E.L.D.,Camper #3,,Caleb Burgess
Agents of S.H.I.E.L.D.,Bjorn,,Josh Diogo
Agents of S.H.I.E.L.D.,Qasim Zaghlul,,Vachik Mangassarian
Agents of S.H.I.E.L.D.,Toshiro Mori,,Brian Tee
Agents of S.H.I.E.L.D.,Emily Deville,,Felisha Terrell
Agents of S.H.I.E.L.D.,Agent Rebecca Stevens,,Monique Gabriela Curnen
Agents of S.H.I.E.L.D.,Chad,,Jeff Corbett
Agents of S.H.I.E.L.D.,Gabriel Soto,,Diego Serrano
Agents of S.H.I.E.L.D.,Diaz,,Paul Elia
Agents of S.H.I.E.L.D.,Agent Tanner,,Rich Paul
Agents of S.H.I.E.L.D.,Beta,,Jake Newton
Agents of S.H.I.E.L.D.,Agent Jones,,Braden Moran
Agents of S.H.I.E.L.D.,John Donnelly,,Daniel Roebuck
Agents of S.H.I.E.L.D.,Octavian Bloom,,Fred Dryer
Agents of S.H.I.E.L.D.,Steve Wilson,,Nelson Franklin
Agents of S.H.I.E.L.D.,Lead Hydra Agent,,Rick Otto
Agents of S.H.I.E.L.D.,Honest Eddie,,Stoney Westmoreland
Agents of S.H.I.E.L.D.,Francis Noche,,Geo Corvera
Agents of S.H.I.E.L.D.,Tiago,,Ben Griesse
Agents of S.H.I.E.L.D.,Agent Harlan,,Brandon Keener
Agents of S.H.I.E.L.D.,Aida,,Amanda Rea
Agents of S.H.I.E.L.D.,Kevin,,Robbie Silverman
Agents of S.H.I.E.L.D.,Watchdog Oscar,,Jonathan Camp
Agents of S.H.I.E.L.D.,Pete Boggs,,Trevor Torseth
Agents of S.H.I.E.L.D.,Watchdog #1,,Phil Tyler
Agents of S.H.I.E.L.D.,The Amazing Mertz,,Derek Hughes
Agents of S.H.I.E.L.D.,Russian #1,,Konstantin Lavysh
Agents of S.H.I.E.L.D.,Holt,,James Babson
Agents of S.H.I.E.L.D.,Guard,,Frederick Lawrence
Agents of S.H.I.E.L.D.,Agent Slate,,Chad T. Wood
Agents of S.H.I.E.L.D.,Kree Trooper,,Jermaine Brantley
Agents of S.H.I.E.L.D.,Hydra Special Agent,,David Landry
Agents of S.H.I.E.L.D.,Committee Chairperson,,Chuck McCollum
Agents of S.H.I.E.L.D.,Agent McCafferty,,Alastair Bayardo
Agents of S.H.I.E.L.D.,Teenage Jasper Sitwell,,Adam Faison
Agents of S.H.I.E.L.D.,Dr. Van Kempen,,Paul Schackman
Agents of S.H.I.E.L.D.,Officer Zbyszewski,,Kurt Koehler
Agents of S.H.I.E.L.D.,Chronicom,,Luke Baines
Agents of S.H.I.E.L.D.,Lana,,Stephanie Drapeau
Agents of S.H.I.E.L.D.,Biff,,Zac Pullam
Agents of S.H.I.E.L.D.,Tommy Chang,,John Yuan
Agents of S.H.I.E.L.D.,Beautiful Woman,,Sarah Dumont
Agents of S.H.I.E.L.D.,Camper #4,,Jake Brennan
Agents of S.H.I.E.L.D.,Elena,,Sylvia Brindis
Agents of S.H.I.E.L.D.,Trainer,,Albert Marrero Jr.
Agents of S.H.I.E.L.D.,Agent #2,,Bayardo De Murguia
Agents of S.H.I.E.L.D.,Katie Thompson,,Monica Lacy
Agents of S.H.I.E.L.D.,Ott,,Joel Johnstone
Agents of S.H.I.E.L.D.,Elias,,David Diaan
Agents of S.H.I.E.L.D.,Cashier,,Brittnee Garza
Agents of S.H.I.E.L.D.,Bishop,,Roberto Medina
Agents of S.H.I.E.L.D.,Waitress,,Carolina Espiro
Agents of S.H.I.E.L.D.,Agent Baylin,,Cameron Diskin
Agents of S.H.I.E.L.D.,Nicole Mackenzie,,Julie Civiello
Agents of S.H.I.E.L.D.,David Angar,,Jeff Daniel Phillips
Agents of S.H.I.E.L.D.,Dwight Frye,,Chad Lindberg
Agents of S.H.I.E.L.D.,Head Nurse,,Lidia Porto
Agents of S.H.I.E.L.D.,Inspector Duval,,Ivo Nandi
Agents of S.H.I.E.L.D.,Rowan Hamilton,,Markus Flanagan
Agents of S.H.I.E.L.D.,Bookish Man,,Alan Heitz
Agents of S.H.I.E.L.D.,Bartender,,Rudy Dobrev
Agents of S.H.I.E.L.D.,Watchdog Victor,,D. Elliot Woods
Agents of S.H.I.E.L.D.,Jackson,,Jean Paul San Pedro
Agents of S.H.I.E.L.D.,Peng,,Steve Suh
Agents of S.H.I.E.L.D.,Guard,,Sergio Enrique
Agents of S.H.I.E.L.D.,Agent Crawford,,Kimberley Drummond
Agents of S.H.I.E.L.D.,Forensic Officer,,Delpaneaux Wills
Agents of S.H.I.E.L.D.,Hydra Agent #1,,Andrew McGinnis
Agents of S.H.I.E.L.D.,Agent Fisher,,Cantrell Harris
Agents of S.H.I.E.L.D.,Russian #2,,Zack Sayenko
Agents of S.H.I.E.L.D.,Airman Whitley,,Brennan Feonix
Agents of S.H.I.E.L.D.,Committee Member,,Sally Shamrell
Agents of S.H.I.E.L.D.,Young Soldier,,John Wusah
Agents of S.H.I.E.L.D.,Reese,,Paul Duna
Agents of S.H.I.E.L.D.,Senator Gaius Ponarian,,Patrick Fabian
Agents of S.H.I.E.L.D.,Crixon,,Gabriel Hogan
Agents of S.H.I.E.L.D.,Jan,,Eva La Dare
Agents of S.H.I.E.L.D.,Professor Steger,,Graham Sibley
Agents of S.H.I.E.L.D.,Getty,,Mark Fite
Agents of S.H.I.E.L.D.,Viro,,Paul Telfer
Agents of S.H.I.E.L.D.,Mystery Woman,,Alex Lombard
Agents of S.H.I.E.L.D.,Agent King,,Shakira Barrera
Agents of S.H.I.E.L.D.,Barb,,Peyton Woolf
Agents of S.H.I.E.L.D.,Concierge,,Paul Rogan
Agents of S.H.I.E.L.D.,Ronnie Chang,,Matt Yuan
Agents of S.H.I.E.L.D.,Francisco,,Lucas Armendariz
Agents of S.H.I.E.L.D.,Camper #5,,Troy Glass
Agents of S.H.I.E.L.D.,Reporter #1,,Dan Sachoff
Agents of S.H.I.E.L.D.,Priest,,Christian Barillas
Agents of S.H.I.E.L.D.,Schneider,,Amir Talai
Agents of S.H.I.E.L.D.,Eliza,,Emily Maya Mills
Agents of S.H.I.E.L.D.,Bartender,,Cutter Garcia
Agents of S.H.I.E.L.D.,Agent Noelle Walters,,Melanie Cruz
Agents of S.H.I.E.L.D.,Hydra Agent,,Hunter Seagroves
Agents of S.H.I.E.L.D.,Ship's Captain,,Mo Darwiche
Agents of S.H.I.E.L.D.,Thomas Ward,,Tyler Ritter
Agents of S.H.I.E.L.D.,John Bruno,,Jamal Duff
Agents of S.H.I.E.L.D.,Lori Henson,,Alexi Wasser
Agents of S.H.I.E.L.D.,Nurse,,Alexandra Manea
Agents of S.H.I.E.L.D.,Agent Hart,,Terrell Tilford
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Agent #1,,Jack Guzman
Agents of S.H.I.E.L.D.,Army Private,,Brett Edwards
Agents of S.H.I.E.L.D.,Susanna,,Sai Lang
Agents of S.H.I.E.L.D.,Yusef Hadad,,Ido Mor
Agents of S.H.I.E.L.D.,Nathaniel Malick,,Joel Courtney
Agents of S.H.I.E.L.D.,Undersecretary Walter Thomas,,Dorian Gregory
Agents of S.H.I.E.L.D.,Prime Minister Olshenko,,Endre Hules
Agents of S.H.I.E.L.D.,Diego,,Wilson Ramirez
Agents of S.H.I.E.L.D.,Ex-Hydra Follower #1,,Lynn Longos
Agents of S.H.I.E.L.D.,Elliot,,Tanner Fontana
Agents of S.H.I.E.L.D.,Reporter,,Coleen Sullivan
Agents of S.H.I.E.L.D.,Michelle Caldwell,,Shelley Robertson
Agents of S.H.I.E.L.D.,MP Guard,,Anthony Bless
Agents of S.H.I.E.L.D.,Hydra Guard,,Jason Medwin
Agents of S.H.I.E.L.D.,Driver,,Jordan Preston
Agents of S.H.I.E.L.D.,Lead Hydra Agent,,Randall J. Bacon
Agents of S.H.I.E.L.D.,Sunjna Nadeer,,Shari Vasseghi
Agents of S.H.I.E.L.D.,Capitol Police Lieutenant,,Mikel Miller
Agents of S.H.I.E.L.D.,Airman Richardson,,J. Michael Evans
Agents of S.H.I.E.L.D.,Deke's Mom,,Katie Amanda Keane
Agents of S.H.I.E.L.D.,Mouse,,Dusty Sorg
Agents of S.H.I.E.L.D.,General Fischer,,Rocky McMurray
Agents of S.H.I.E.L.D.,Qolpakc,,Darwin Shaw
Agents of S.H.I.E.L.D.,Young Mystery Woman,,Ashley Platz
Agents of S.H.I.E.L.D.,Dana,,Sola Bamis
Agents of S.H.I.E.L.D.,Javier,,David Bianchi
Agents of S.H.I.E.L.D.,Franklin Delano Roosevelt,,Joseph Culp
Agents of S.H.I.E.L.D.,Cop,,Tom Simmons
Agents of S.H.I.E.L.D.,Tawni,,Lynden Orr
Agents of S.H.I.E.L.D.,Neatnik Scientist,,Brion Brionson
Agents of S.H.I.E.L.D.,Reporter #2,,Arlene Santana
Agents of S.H.I.E.L.D.,Ador,,Steve DeCastro
Agents of S.H.I.E.L.D.,Jim Morita,,Kenneth Choi
Agents of S.H.I.E.L.D.,Agent Hauer,,Lou Ferrigno Jr.
Agents of S.H.I.E.L.D.,Theo,,Jesse D. Goins
Agents of S.H.I.E.L.D.,Guard,,Lance Irwin
Agents of S.H.I.E.L.D.,Interrogating Agent,,Darren Dupree Washington
Agents of S.H.I.E.L.D.,Aunt Cindy,,Valorie Hubbard
Agents of S.H.I.E.L.D.,Julien Beckers,,Michael Enright
Agents of S.H.I.E.L.D.,Hydra Soldier #3,,Craig Baxley Jr.
Agents of S.H.I.E.L.D.,ABC Reporter,,Alysha Del Valle
Agents of S.H.I.E.L.D.,Graham,,Richie Cottrell
Agents of S.H.I.E.L.D.,Eva Belyakov,,Winter Ave Zoli
Agents of S.H.I.E.L.D.,The Baroness,,Kathryn Leigh Scott
Agents of S.H.I.E.L.D.,Shane Larson,,Nick Eversman
Agents of S.H.I.E.L.D.,Case,,Cornelius Smith Jr.
Agents of S.H.I.E.L.D.,Jerome Deschamps,,Hector Hugo
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Agent #2,,Kyle Clements
Agents of S.H.I.E.L.D.,Referee,,Micah Fitzgerald
Agents of S.H.I.E.L.D.,Hydra Soldier,,Garrett Hines
Agents of S.H.I.E.L.D.,Student,,Gregg Martin
Agents of S.H.I.E.L.D.,Flight Attendant,,Astrea Campbell-Cobb
Agents of S.H.I.E.L.D.,Lord Manzini,,Daniel Wolfe
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Leader,,Craig Johnson
Agents of S.H.I.E.L.D.,Colonel Victor Ramon,,Yancey Arias
Agents of S.H.I.E.L.D.,Boy,,Nico David
Agents of S.H.I.E.L.D.,General Androvich,,Kristof Konrad
Agents of S.H.I.E.L.D.,Newscaster,,Courtney Friel
Agents of S.H.I.E.L.D.,General Andaz,,Patrick John Hurley
Agents of S.H.I.E.L.D.,Ex-Hydra Follower #2,,Chris Hubbard
Agents of S.H.I.E.L.D.,Trader Leader,,Mark Rhino Smith
Agents of S.H.I.E.L.D.,Sergei,,Joris Jarsky
Agents of S.H.I.E.L.D.,Hydra Doctor,,Andy Comeau
Agents of S.H.I.E.L.D.,Gedrick,,Richard Whiten
Agents of S.H.I.E.L.D.,Security Guard,,Asante Jones
Agents of S.H.I.E.L.D.,Hydra Agent,,Richard Pierre-Louis
Agents of S.H.I.E.L.D.,Person in Line,,Brandon Walter
Agents of S.H.I.E.L.D.,Lady Karaba,,Erika Ervin
Agents of S.H.I.E.L.D.,Doyle,,Graham Outerbridge
Agents of S.H.I.E.L.D.,Sinara Guard,,Shon Lange
Agents of S.H.I.E.L.D.,Teenage Baron Von Strucker,,Joey Defore
Agents of S.H.I.E.L.D.,Qajax,,Andres Saenz Hudson
Agents of S.H.I.E.L.D.,Officer Kennedy,,Antonio Aaron
Agents of S.H.I.E.L.D.,Trok,,Glenn Keogh
Agents of S.H.I.E.L.D.,Bartender,,Azalea Davila
Agents of S.H.I.E.L.D.,Agent Mulcahey,,Cassandra Ballard
Agents of S.H.I.E.L.D.,Dr. Grady,,John Lee Ames
Agents of S.H.I.E.L.D.,Timid Lab Tech,,Erik Gersovitz
Agents of S.H.I.E.L.D.,Patrolman Fischer,,Karl Kwiatkowski
Agents of S.H.I.E.L.D.,Oscar,,Ricardo Cisneros
Agents of S.H.I.E.L.D.,Rollo,,Dennis Keiffer
Agents of S.H.I.E.L.D.,Technician,,Kevin Sifuentes
Agents of S.H.I.E.L.D.,Jesse Fletcher,,Asif Ali
Agents of S.H.I.E.L.D.,Deacon,,Ronnie Gene Blevins
Agents of S.H.I.E.L.D.,Waiter,,David Lim
Agents of S.H.I.E.L.D.,Adamo Dioli,,Joe Marinelli
Agents of S.H.I.E.L.D.,Agent Rivera,,Al Coronel
Agents of S.H.I.E.L.D.,Lead Hydra Agent,,Jarrod Crawford
Agents of S.H.I.E.L.D.,Reporter,,Jay Montalvo
Agents of S.H.I.E.L.D.,Guard #2,,Isaac Stephen Montgomery
Agents of S.H.I.E.L.D.,Tat,,Devan Chandler Long
Agents of S.H.I.E.L.D.,The Banker,,Joel Polis
Agents of S.H.I.E.L.D.,Female Major,,Anna Campbell
Agents of S.H.I.E.L.D.,Security Guard,,Jack Kennedy
Agents of S.H.I.E.L.D.,Third Soldier,,Brandon Ford Green
Agents of S.H.I.E.L.D.,Younger Lord,,Piers Stubbs
Agents of S.H.I.E.L.D.,Bartender,,Byron McIntyre
Agents of S.H.I.E.L.D.,Driver,,Sufian Kassam
Agents of S.H.I.E.L.D.,FSO Agent,,Roman Varshavsky
Agents of S.H.I.E.L.D.,Xiao Chen,,Alexandra Bokyun Chun
Agents of S.H.I.E.L.D.,Zhi,,David An
Agents of S.H.I.E.L.D.,Darryl,,Preston Flagg
Agents of S.H.I.E.L.D.,Father,,John Churchill
Agents of S.H.I.E.L.D.,Mayan,,Jason Glover
Agents of S.H.I.E.L.D.,Felix,,Samuel Barajas
Agents of S.H.I.E.L.D.,Bartender,,Hal Perry
Agents of S.H.I.E.L.D.,S.H.I.E.L.D. Agent,,Matt Ferrucci
Agents of S.H.I.E.L.D.,Marilyn,,Rheagan Wallace
Agents of S.H.I.E.L.D.,Mrs. Lee,,Kavita Patil
Agents of S.H.I.E.L.D.,Hangar Guard #1,,Peter Jang
Agents of S.H.I.E.L.D.,Rick,,Wes Armstrong
Agents of S.H.I.E.L.D.,Guy,,Jim Hanna
Agents of S.H.I.E.L.D.,FBI Agent Jurmain,,Sheila Cutchlow
Agents of S.H.I.E.L.D.,Waitress,,Karole Foreman
Agents of S.H.I.E.L.D.,Kree Guard,,Torrance Jordan
Agents of S.H.I.E.L.D.,Hydra Gate Guard,,Beau Bonness
Agents of S.H.I.E.L.D.,Estella,,Nayo Wallace
Agents of S.H.I.E.L.D.,Comms Agent,,Jamal Akakpo
Agents of S.H.I.E.L.D.,Bartender,,Josh Fingerhut
Agents of S.H.I.E.L.D.,Agent Fox,,Levi Meaden
Agents of S.H.I.E.L.D.,Amit,,Shalin Agarwal
Agents of S.H.I.E.L.D.,Security Guard,,Bubba Ganter
Agents of S.H.I.E.L.D.,Ford Chronicom,,Nic Few
Agents of S.H.I.E.L.D.,Waiter,,Amos Glick
Agents of S.H.I.E.L.D.,Genesis,,Lauren de Miranda
Agents of S.H.I.E.L.D.,Salty Waitress,,Kara Gibson
Agents of S.H.I.E.L.D.,Young Elena,,Sophie Rabe-Martinez
Agents of S.H.I.E.L.D.,Bartender,,Caleb Alexander Smith
Agents of S.H.I.E.L.D.,Mrs. Zeller,,Kyla Garcia
Agents of S.H.I.E.L.D.,Prisoner,,Eijiro Ozaki
Agents of S.H.I.E.L.D.,Second Hydra Agent,,Nick Roth
Agents of S.H.I.E.L.D.,Patient #2,,Carlos E. Campos
Agents of S.H.I.E.L.D.,Tattoo Artist,,Darrel Cherney
Agents of S.H.I.E.L.D.,Tow Truck Driver,,Christopher Rocha
Agents of S.H.I.E.L.D.,Bridget,,Alyce Tawil
Agents of S.H.I.E.L.D.,Officer Anderson,,Meredith Bishop
Agents of S.H.I.E.L.D.,The Sheikh,,Maz Siam
Agents of S.H.I.E.L.D.,Officer Stuart,,Marco Martinez
Agents of S.H.I.E.L.D.,Maitre d',,David L. King
Agents of S.H.I.E.L.D.,Heavy,,Daniel Messier
Agents of S.H.I.E.L.D.,Hydra Tech,,Staci Roberts Steele
Agents of S.H.I.E.L.D.,Officer Bowie,,Scott Broderick
